Product Name,Price
Authentic Ray-Ban Bausch Lomb Vintage 1995 Sunglasses Spinal Tap Brown W2665,"2,700.29 SEK"
Oakley Penny Titanium Ice Sunglasses with Box Hardcase Softcase,"39,382.22 SEK"
Bam Margera Electric Sunglasses BSG II 2 Purple Chex & Grey CKY Jackass FreePost,"3,487.08 SEK"
Oakley X-Metal X-men Sunglasses Juliet Ruby Lens Serial X0 Limited to 5000,"27,567.52 SEK"
HUBLOT Sunglasses Silver Frame Blue Gradient Lenses Titanium 136-00-145,"2,984.66 SEK"
oakley penny 24k sunglasses Juliet one-of-a-kind sports valuable,"34,459.43 SEK"
Jean Paul Gaultier Sunglasses UV Protection 56-6202 Plastic Frame Very rare,"559,643.49 SEK"
Elvis EP Logo Sunglasses,"18,136.59 SEK"
Oakley Over The Top Sunglasses,"9,799.36 SEK"
Versace Sunglasses Black Gold Medusa Octagon Angular Biggie MOD VE 3320-U GB1,"2,021.82 SEK"
Other Brands KUBORAUM Sunglasses Plastic BLK Men's MASKE P2,"2,035.65 SEK"
OAKLEY Sunglasses OO4088-01 TAILEND TITANIUM/ BLACK IRIDIUM AUTHENTIC 56mm,"1,336.93 SEK"
Cazal 951 Sunglasses Brown Gradient Used Dita,"5,627.01 SEK"
Cazal 964 Teardrop Sunglasses,"1,298,968.29 SEK"
Cartier Silver Rectangular Men's Sunglasses 60-14-140 CT0102S 004 w/Box&Papers,"4,922.79 SEK"
Randolph Aviators Gunmetal/Acadian Aviator Af301 Polarized Sunglasses 55-20-140,"1,554.05 SEK"
Authentic Christian Dior Signature S2U10A0 Blk Rectangle Sunglasses Gry Lens,"1,368.02 SEK"
OAKLEY Sunglasses OO4088-04 TAILEND Pewter/Fire Iridium AUTHENTIC 56mm,"1,544.20 SEK"
Versace Sunglasses Gold Black Glossy Square Medusa MOD VE 1274 1002 55mm,"1,804.71 SEK"
Persol Ratti 58230 Terminator Model,"28,478.29 SEK"
Arnette Hotcakes Sunglasses 90s Black Frame × Yellow Lenses with Box and Case,"6,207.90 SEK"
Vintage Oakley Moon Black Sunglasses Frames - AUTHENTIC,"3,109.13 SEK"
Versace Sunglasses Black Gold Square Metal Glossy MOD VE 1285 1002 56mm [B],"1,926.84 SEK"
OAKLEY Sunglasses OO4088-02 TAILEND Pewter w/ Ice Iridium AUTHENTIC 56mm,"1,544.20 SEK"
PERSOL 2720-S 24/31 Sunglasses - James Bond - Agent 007 - Casino Royale,"3,368.22 SEK"
OAKLEY MEDUSA HAT Leather Helmet L Size Rare Mad Scientist W/ box storage bag,"34,176.29 SEK"
OAKLEY Juliet X-metal Men's Sunglasses Eyewear Square Black Frame Auth,"6,724.95 SEK"
"Louis Vuitton Z2516U Sunglasses, 1.0 Millionaire Black Gold Shield Type Men's","13,557.67 SEK"
OAKLEY SUNGLASSES UNUSED #50BD,"6,600.58 SEK"
Ray-Ban RB 2140 Wayfarer Special Series #9 Sunglasses w/Case,"1,502.75 SEK"
Oakley Monster Dog Custom Polarized Sunglasses Boxed,"5,171.52 SEK"
GUCCI Vintage Sunglasses Black Purple GG Distorted,"1,191.83 SEK"
Oliver Peoples Victory 58 VFX Twenty Years Sunglasses Gradient Lenses 58□17-135,"4,558.92 SEK"
90s BLACK FLYS Sunglasses DAMIAN FLY III Discontinued,"2,259.20 SEK"
Dolce & Gabbana 2021 Black Pilot Metal Sunglasses DG 2231 3276/87 270924,"1,886.13 SEK"
Read! Oakley Badman Silver Sunglasses Frames,"1,761.74 SEK"
VERSACE Sunglasses MOD.2175 VE2175 1252/11 GOLD/ GRAY GRADIENT AUTHENTIC ITALY,"1,129.65 SEK"
Oakley X Metal XX TIO2 Titanium Dioxide Black Iridium Lens Serial# Bigger Juliet,"15,545.55 SEK"
Oakley Frogskins Deuce Coupe Collection Sunglasses 24-316 Sulphur/Black Iridium,"1,243.55 SEK"
EYEVAN Men's Women's ACETATE TITANIUM SUNGLASSES 7285 717 C.3320,"4,196.81 SEK"
Oakley Women's Miss Conduct Sunglasses Pacific Grey OO9123-03 137 Made In USA,"1,450.82 SEK"
Prada Sunglasses Black Glossy Square Red Linea Rossa PS02OV VPS 02O 1AB-1O1 55mm,"1,791.15 SEK"
LOUIS VUITTON LV Sleek Square sunglasses Z2062E Plastic Black Used mens,"6,726.09 SEK"
Oakley OO4123-06 HOLBROOK™ METAL PRIZM™ POLARIZED Matte Gunmetal AUTHENTIC,"1,129.65 SEK"
Versace Sunglasses Black Gold Medusa Metal Square MOD VE 1285 1443 56mm,"1,791.15 SEK"
Oakley 13 11 Sunglasses Eyewear Oo9376-0133 With Special Case _33313,"7,295.06 SEK"
Prada Sunglasses Blue Black Triangle Symbole Marble PR10ZV VPR 10Z 18D-1O1 53mm,"2,157.52 SEK"
CHANEL Vintage Sunglasses Silver 45002 09613,"3,014.09 SEK"
Versace Sunglasses Brown Grey Transparent Square Black Medusa MOD VE 3350 5436,"1,886.13 SEK"
Versace Sunglasses 2003 Vintage Rectangle Black Gunmetal MOD 2021 1001/11 210924,"2,700.29 SEK"
RayBan B&L Leathers Glasses ORIGINAL Vintage Box Sunglasses Bausch & Lomb,"3,399.50 SEK"
Gucci Sunglasses 1997 Vintage Brown Gold Small Rectangle GG 2522/S 5T7 230924,"2,510.32 SEK"
Chrome Hearts Size: 49 23-141 CHIRP CHIRP Flare Knee Temple Sunglasses,"21,411.65 SEK"
Gianni Versace Sunglasses metal Black Auth ar12440,"1,334.85 SEK"
Oakley OO Wire Michael Jordan Sunglasses Pewter/Positive Red Iridium A Wire,"2,280.03 SEK"
Versace Sunglasses Black Grey Transparent Square Medusa MOD VE 3346 593 55mm,"1,886.13 SEK"
Oakley Splice Sunglasses Vintage Made In The Usa w/Case Discontinued Model,"3,698.83 SEK"
[Hard to find]  John Galliano sunglasses JOHN GALLIANO,"5,220.23 SEK"
USED OAKLEY SUNGLASSES VERYGOOD R-5E55,"9,346.98 SEK"
GIANNI VERSACE Sunglasses SLV BLK men 27-1054,"2,035.65 SEK"
